Probe,logFC,p.val,adj.p.val
1627653_at,1.44E-01,2.68E-04,1.26E-02
1629221_at,-5.75E-02,2.68E-04,1.26E-02
1626435_at,5.34E-01,2.73E-04,1.28E-02
1639087_at,-4.36E-02,2.73E-04,1.28E-02
1640401_at,5.44E-02,2.76E-04,1.28E-02
1625022_a_at,1.58E-01,2.76E-04,1.28E-02
1635330_at,-1.50E-01,2.76E-04,1.28E-02
1632087_at,-1.53E-01,2.76E-04,1.28E-02
1627138_at,9.62E-02,2.77E-04,1.28E-02
1636738_at,-1.05E-01,2.78E-04,1.28E-02
1633980_at,6.39E-02,2.81E-04,1.29E-02
1631270_at,-1.09E-01,2.82E-04,1.29E-02
1625257_s_at,8.43E-02,2.83E-04,1.29E-02
1632301_at,6.94E-02,2.83E-04,1.29E-02
1631422_at,-9.70E-02,2.89E-04,1.32E-02
1627000_s_at,9.68E-02,2.91E-04,1.33E-02
1640920_at,-1.19E-01,2.92E-04,1.33E-02
1637240_a_at,9.11E-02,2.92E-04,1.33E-02
1637509_s_at,-6.61E-02,2.96E-04,1.34E-02
1631580_at,8.36E-02,2.97E-04,1.34E-02
1630233_at,1.36E-01,2.98E-04,1.34E-02
1628015_at,1.49E-01,3.01E-04,1.35E-02
1625612_at,1.08E-01,3.04E-04,1.36E-02
1623218_s_at,1.30E-01,3.04E-04,1.36E-02
1634779_at,1.22E-01,3.04E-04,1.36E-02
1627755_at,-9.97E-02,3.07E-04,1.36E-02
1636784_at,1.06E-01,3.09E-04,1.37E-02
1630692_at,-7.40E-02,3.11E-04,1.38E-02
1631994_a_at,9.57E-02,3.11E-04,1.38E-02
1623371_at,-1.58E-01,3.13E-04,1.38E-02
1636654_s_at,-7.84E-02,3.16E-04,1.39E-02
1623012_at,6.96E-02,3.17E-04,1.39E-02
1639730_at,-2.89E-01,3.19E-04,1.40E-02
1636268_at,8.08E-02,3.22E-04,1.41E-02
1625397_at,2.65E-01,3.29E-04,1.43E-02
1623497_at,2.06E-01,3.29E-04,1.43E-02
1637286_a_at,1.53E-01,3.32E-04,1.44E-02
1638462_at,9.84E-02,3.37E-04,1.46E-02
1629923_at,1.02E-01,3.38E-04,1.46E-02
1624543_s_at,7.64E-01,3.39E-04,1.46E-02
1631626_at,-1.28E-01,3.41E-04,1.47E-02
1626959_at,3.28E-01,3.47E-04,1.49E-02
1634844_at,1.17E-01,3.48E-04,1.49E-02
1637829_at,-1.59E-01,3.50E-04,1.50E-02
1631774_at,2.48E-01,3.51E-04,1.50E-02
1640042_at,1.01E-01,3.53E-04,1.50E-02
1632927_at,-1.25E-01,3.56E-04,1.51E-02
1626169_at,5.99E-02,3.57E-04,1.51E-02
1628745_at,2.31E-01,3.64E-04,1.54E-02
1628644_at,1.23E-01,3.66E-04,1.54E-02
1634207_at,-9.67E-02,3.71E-04,1.56E-02
1623759_at,9.45E-02,3.79E-04,1.59E-02
1630815_at,1.74E-01,3.81E-04,1.59E-02
1628543_a_at,-8.12E-02,3.82E-04,1.60E-02
1631474_s_at,-1.17E-01,3.84E-04,1.60E-02
1640529_at,-2.28E-01,3.86E-04,1.60E-02
1624508_at,1.79E-01,3.88E-04,1.61E-02
1631006_a_at,-9.88E-02,3.91E-04,1.62E-02
1631977_at,1.96E-01,3.95E-04,1.63E-02
1640358_at,-7.50E-02,3.96E-04,1.63E-02
1623683_at,1.15E-01,3.96E-04,1.63E-02
1635084_at,1.13E-01,3.96E-04,1.63E-02
1628732_at,1.06E-01,3.99E-04,1.63E-02
1626578_at,-1.62E-01,4.03E-04,1.65E-02
1629591_at,9.05E-02,4.06E-04,1.66E-02
1638704_at,1.07E-01,4.07E-04,1.66E-02
1627118_at,-8.60E-02,4.10E-04,1.66E-02
1624029_at,1.56E-01,4.15E-04,1.68E-02
1639729_s_at,-3.74E-01,4.17E-04,1.69E-02
1625629_at,-9.77E-02,4.25E-04,1.71E-02
1625738_at,1.14E-01,4.25E-04,1.71E-02
1633418_at,-7.53E-02,4.25E-04,1.71E-02
1632488_a_at,7.56E-02,4.29E-04,1.72E-02
1635859_s_at,-7.63E-02,4.30E-04,1.72E-02
1636470_at,-1.06E-01,4.31E-04,1.72E-02
1640802_at,-9.42E-02,4.32E-04,1.72E-02
1633904_at,9.01E-02,4.33E-04,1.72E-02
1624325_at,-1.92E-01,4.37E-04,1.73E-02
1641595_at,-7.06E-02,4.45E-04,1.76E-02
1631158_at,5.08E-02,4.46E-04,1.76E-02
1629821_at,7.82E-02,4.49E-04,1.77E-02
1629155_at,1.13E-01,4.49E-04,1.77E-02
1637120_at,-1.63E-01,4.52E-04,1.77E-02
1628587_at,9.04E-02,4.58E-04,1.79E-02
1629776_a_at,-5.88E-02,4.62E-04,1.81E-02
1640249_at,1.58E-01,4.68E-04,1.82E-02
1632533_at,8.80E-02,4.68E-04,1.82E-02
1637364_at,-1.19E-01,4.70E-04,1.82E-02
1633362_at,8.99E-02,4.71E-04,1.82E-02
1637479_at,-8.45E-02,4.72E-04,1.82E-02
1636446_at,-5.31E-02,4.75E-04,1.83E-02
1638943_at,-1.28E-01,4.76E-04,1.83E-02
1629194_s_at,-1.86E-01,4.86E-04,1.87E-02
1628989_at,-2.88E-01,4.89E-04,1.88E-02
1634062_at,-8.74E-02,4.91E-04,1.88E-02
1640056_at,5.68E-02,4.92E-04,1.88E-02
1638889_at,-9.72E-02,4.94E-04,1.88E-02
